raylo_category,purpose,signal_form,best_iv,iv_month12,necessity,cash_flow_type,is_debt_related,is_priority_debt,risk_flag,equifax_source,plaid_source,notes,signal_stability
gambling_lottery,predictive_and_regulatory,persistence,0.0498,0.0337,discretionary,spend,false,false,low_stakes_gambling,Gambling and Betting | Lottery,,HIGHEST-IV gambling subtype - do NOT aggregate with other gambling,stable
financial_services_other,predictive,persistence,0.0490,0.0396,mixed_basket,spend,false,false,none,Financial Services | Banks And Building Societies,GENERAL_SERVICES_ACCOUNTING_AND_FINANCIAL_SERVICES,REVIEW - Equifax files mortgage lenders here,stable
gym_fitness,predictive,persistence,0.0449,0.0292,discretionary,spend,false,false,none,Personal Healthcare | Gyms And Health Clubs,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,,stable
retail_finance,predictive,persistence,0.0446,0.0357,essential,debt_repayment,true,false,none,Financial Services | Retail Finance,,no Plaid equivalent - closest analogue to Raylo's own product,stable
insurance_life,predictive,count,0.0431,0.0442,essential,spend,false,false,none,Insurance | Life Insurance,,,stable
personal_care,predictive,persistence,0.0428,,discretionary,spend,false,false,none,Personal Healthcare | General Health and Beauty,PERSONAL_CARE_HAIR_AND_BEAUTY,absorbs Skin/Hair Care and Beauty & Massage,
online_shopping_tv,predictive,persistence,0.0428,,mixed_basket,spend,false,false,none,Shopping (Discretionary) | TV and Online Shopping,,,
cash_withdrawal,predictive,frequency,0.0385,,not_applicable,transfer_own_accounts,false,false,visibility_loss,Cash Machine | (null),TRANSFER_OUT_CHECKS_AND_ATM,FREQUENCY not persistence - 4x better as count; downstream spend unobservable,
optician,predictive,persistence,0.0382,,essential,spend,false,false,none,Personal Healthcare | Glasses and Contact Lenses,MEDICAL_DENTAL_AND_VISION,,
savings_interest_income,predictive,share,0.0382,,not_applicable,income,false,false,none,Interest | Bank Interest Accrual,INTERESTS_AND_DIVIDENDS_INTERESTS_AND_DIVIDENDS,NEW - found in income analysis. Presence of savings interest implies a buffer; 18.9% prevalence,
catalogue_credit,predictive,persistence,0.0370,,mixed_basket,spend,false,false,none,Shopping (Discretionary) | General Catalogues,,often implies embedded credit,
veterinary,predictive,persistence,0.0369,,essential,spend,false,false,none,Pets | Pet Care,PET_CARE_AND_SUPPLIES_VETERINARY_SERVICES,,
takeaway,predictive,persistence,0.0362,,discretionary,spend,false,false,none,Restaurants and takeaway | Take Away,,9x IV gain from persistence form,
insurance_pet,predictive,persistence,0.0352,,discretionary,spend,false,false,none,Insurance | Pet Insurance,,,
dentist,predictive,persistence,0.0333,0.0364,essential,spend,false,false,none,Personal Healthcare | Dentist,MEDICAL_DENTAL_AND_VISION,,stable
tax_payment,predictive_and_regulatory,persistence,0.0323,,essential,spend,false,true,none,Tax | (null),INSURANCE_AND_TAX_TAX_PAYMENT,,
entertainment_events,predictive,persistence,0.0323,,discretionary,spend,false,false,none,Entertainment | Days Out,ENTERTAINMENT_EVENTS_AND_TICKETS,absorbs Cinema/Music Tickets/Theatre/Sporting,
gifts,predictive,persistence,0.0310,,discretionary,spend,false,false,none,Shopping (Household Essentials) | Gifts Flowers and Parties,,OVERRIDE - Equifax classes as household essential,
unclassified_transfer,ml_target,persistence,0.0310,,not_applicable,transfer_own_accounts,false,false,none,Transfers / Other | (null),TRANSFER_OUT_OTHER,9.6M Equifax txns - largest single bucket,
delivery_service,predictive,persistence,0.0309,,discretionary,spend,false,false,none,Services | Delivery,,,
debt_management,predictive_and_regulatory,persistence,0.0306,,essential,debt_repayment,true,false,distress_signal,Financial Services | Debt Management,,DMP enrolment - low prevalence but unambiguous distress,
department_store,predictive,persistence,0.0271,,mixed_basket,spend,false,false,none,Shopping (Discretionary) | Department Stores,GENERAL_MERCHANDISE_DEPARTMENT_STORES,,
breakdown_cover,predictive,persistence,0.0270,,essential,spend,false,false,none,Automotive | Breakdown Cover,,,
gambling_winnings,regulatory,share,0.0270,,not_applicable,income,false,false,behavioural_risk,Gambling and Betting | * (credit),ENTERTAINMENT_CASINOS_AND_GAMBLING,TESTED - real signal; must never be counted as income,
gambling_betting,predictive_and_regulatory,frequency,0.0268,,discretionary,spend,false,false,behavioural_risk,Gambling and Betting | Betting,ENTERTAINMENT_CASINOS_AND_GAMBLING,FREQUENCY not persistence,
debt_collection,predictive_and_regulatory,persistence,0.0268,,essential,debt_repayment,true,false,distress_signal,Financial Services | Debt Collection,,,
returned_payment_fee,predictive_and_regulatory,count_both_directions,0.0263,0.0425,not_applicable,fee_or_penalty,false,false,distress_fee,Bank Charges and Returns | Returned Payments,BANK_PENALTIES_INSUFFICIENT_AND_LATE_FEES,RESOLVED - must count BOTH directions; returns appear mainly as credits (35.1% prevalence vs 5.4% debit-only). 7x IV gain. Residual gap vs Plaid 0.131 still unexplained - likely definitional,strengthens
medical_other,affordability_and_regulatory,persistence,0.0261,,essential,spend,false,false,none,Personal Healthcare | Hospitals,MEDICAL_PRIMARY_CARE,,
automotive_maintenance,predictive,persistence,0.0260,,essential,spend,false,false,none,Automotive | Garages and Parts,TRAVEL_AND_TRANSPORTATION_AUTOMOTIVE,,
gambling_casino,regulatory,frequency,0.0255,,discretionary,spend,false,false,behavioural_risk,Gambling and Betting | Poker and Casino Games,ENTERTAINMENT_CASINOS_AND_GAMBLING,kept for Consumer Duty regardless of IV,
unclassified,ml_target,persistence,0.0255,,not_applicable,unclassified,false,false,none,(null) | (null),OTHER_OTHER,4.5M Equifax txns with no category,
benefits_income,affordability,persistence,0.0219,,not_applicable,income,false,false,none,Benefits | (null),INCOME_GOVERNMENT_INCOME,TESTED - weak,
refund_received,affordability,share,0.0201,,not_applicable,income,false,false,none,Refund | *,,TESTED - weak (measured on Transfers/Other|Amazon credit as proxy),
pawn_broker,regulatory,persistence,0.0147,,essential,debt_repayment,true,false,high_cost_credit,Financial Services | Pawn Brokers,,kept for high-cost-credit flag,
pension_income,affordability,share,0.0121,,not_applicable,income,false,false,none,Pension Payout | (null),,TESTED - weak,
rent,affordability_and_regulatory,persistence,0.0093,,essential,spend,false,true,none,Rent and Mortgage | Property Rental,RENT_AND_UTILITIES_RENT,LOW IV BUT ESSENTIAL - detection gap; largest outgoing for most customers. Investigate before trusting,
payday_loan,regulatory,persistence,0.0087,,essential,debt_repayment,true,false,high_cost_credit,Financial Services | Payday Loans,LOAN_PAYMENTS_CASH_ADVANCES,kept for high-cost-credit flag regardless of IV,
gambling_bingo,regulatory,frequency,0.0081,,discretionary,spend,false,false,behavioural_risk,Gambling and Betting | Bingo,ENTERTAINMENT_CASINOS_AND_GAMBLING,kept for Consumer Duty regardless of IV,
overdraft_charge,regulatory,count_both_directions,0.0033,,not_applicable,fee_or_penalty,true,false,distress_fee,Bank Charges and Returns | Arranged Overdraft,BANK_PENALTIES_CASH_ADVANCE_AND_OVERDRAFT_FEES,"GENUINELY WEAK - arranged overdraft is a normal product, not distress. Unarranged would be the signal but Equifax does not separate it",
salary_gig,affordability,persistence,,,not_applicable,income,false,false,none,Identified Salary | Taxis|Delivery,,Below 1000-proposal threshold in this cohort - untested. Raylo-derived concept neither vendor exposes,
transfer_own_accounts,operational,share,,,not_applicable,transfer_own_accounts,false,false,none,Own Transfers | *,TRANSFER_OUT_CHECKING,,
transfer_p2p,operational,share,,,not_applicable,p2p_transfer,false,false,none,Transfers / Other | Transfer Personal,TRANSFER_OUT_TRANSFER_OUT_FROM_APPS,possible informal borrowing,
