row,gold_set,provider,merchant_raw,description_raw,amount,direction,gold_leaf,gold_general,review_notes,agree,native_category_raw,plaid_leaf,plaid_general,pipeline_leaf,pipeline_general,pipeline_tier,gold_matches_plaid,gold_matches_pipeline,gold_matches_plaid_general,gold_matches_pipeline_general,llm_consensus_leaf,llm_consensus_general,llm_consensus_how,gold_matches_llm_consensus,gemini_leaf,sonnet_leaf,opus_leaf,haiku_draft_leaf,sonnet_draft_leaf
11,v4_unmatched_plaid,plaid,Sony Playstation,PlayStation Networ  ON 30 JUL BCC PLAYSTATION NETWORK,6.99,debit,gaming_console_pc,entertainment_leisure,PlayStation Network subscription debit.,yes,ENTERTAINMENT_MUSIC_VIDEO_GAMES_TV_AND_MOVIES,entertainment_other,entertainment_leisure,entertainment_other,entertainment_leisure,T6_native_fallback,no,no,yes,yes,gaming_console_pc,entertainment_leisure,gemini_sonnet_agree,yes,gaming_console_pc,gaming_console_pc,gaming_console_pc,gaming_console_pc,gaming_console_pc
12,v4_unmatched_plaid,plaid,Jackpotz Competitions,Jackpotz Competitions,2.97,debit,prize_competitions,gambling,"Jackpotz Competitions is a prize-draw platform, not licensed betting.",yes,ENTERTAINMENT_CASINOS_AND_GAMBLING,gambling_unspecified,gambling,prize_competitions,gambling,T4_dictionary,no,yes,yes,yes,prize_competitions,gambling,gemini_sonnet_agree,yes,prize_competitions,prize_competitions,prize_competitions,prize_competitions,prize_competitions
13,v4_unmatched_plaid,plaid,Arnold Varga Pi,ARNOLD VARGA PI9714840265427745,100.0,debit,transfer_p2p,transfers,Named person Arnold Varga; PI reference; no other purpose.,yes,TRANSFER_OUT_OTHER,unclassified_transfer,unclassified,unclassified_transfer,unclassified,T6_native_fallback,no,no,no,no,transfer_p2p,transfers,gemini_sonnet_agree,yes,transfer_p2p,transfer_p2p,transfer_p2p,transfer_p2p,transfer_p2p
14,v4_unmatched_plaid,plaid,Bettavendltd,NYX*BettaVendLtd,1.0,debit,confectionary,groceries_household_essentials,NYX*BettaVendLtd vending; £1 snack/confectionary.,yes,FOOD_RETAIL_OTHER,groceries,groceries_household_essentials,groceries,groceries_household_essentials,T6_native_fallback,no,no,yes,yes,confectionary,groceries_household_essentials,gemini_sonnet_agree,yes,confectionary,confectionary,confectionary,confectionary,confectionary
15,v4_unmatched_plaid,plaid,T S Clements Gaa,T S CLEMENTS  GAA FT,50.0,debit,sports_participation,entertainment_leisure,T S CLEMENTS GAA is a GAA (Gaelic Athletic Association) club payment; medical native is spurious.,no,MEDICAL_OTHER_MEDICAL,health_other,health_medical,health_other,health_medical,T6_native_fallback,no,no,no,no,transfer_p2p,transfers,gemini_sonnet_agree,no,transfer_p2p,transfer_p2p,transfer_p2p,sports_participation,unclassified_other
16,v4_unmatched_plaid,plaid,Natalia Rola Pi,NATALIA ROLA PI5599466051797963,10.0,debit,transfer_p2p,transfers,Named person Natalia Rola; PI debit; no other purpose.,yes,TRANSFER_OUT_OTHER,unclassified_transfer,unclassified,unclassified_transfer,unclassified,T6_native_fallback,no,no,no,no,transfer_p2p,transfers,gemini_sonnet_agree,yes,transfer_p2p,transfer_p2p,transfer_p2p,transfer_p2p,transfer_p2p
17,v4_unmatched_plaid,plaid,United Kingdom,United Kingdom Account - From S Moran Rebecca Jepson - SortCodeAccountNumber: 11006212256069,20.0,debit,transfer_p2p,transfers,Debit to a UK account labelled with named person S Moran Rebecca Jepson; no own-account evidence.,established,TRANSFER_OUT_OTHER,unclassified_transfer,unclassified,unclassified_transfer,unclassified,T6_native_fallback,no,no,no,no,transfer_p2p,transfers,gemini_sonnet_agree,yes,transfer_p2p,transfer_p2p,transfer_p2p,,
18,v4_unmatched_plaid,plaid,Exchanged To Eth,Exchanged to ETH,1.0,debit,crypto,savings_investments,Narrative explicitly 'Exchanged to ETH'.,yes,TRANSFER_OUT_OTHER,unclassified_transfer,unclassified,crypto,savings_investments,T4_dictionary,no,yes,no,yes,crypto,savings_investments,gemini_sonnet_agree,yes,crypto,crypto,crypto,crypto,crypto
19,v4_unmatched_plaid,plaid,Apple,2685 15AUG25      APPLE.COM/BILL    08001076285 IE,0.99,debit,software,digital_subscriptions_services,"Apple.com/bill small debit; App Store/iCloud digital purchase, not hardware.",established,GENERAL_MERCHANDISE_COMPUTERS_AND_ELECTRONICS,computing_devices,general_retail_marketplaces,software,digital_subscriptions_services,T4_dictionary,no,yes,no,yes,software,digital_subscriptions_services,gemini_sonnet_agree,yes,software,software,software,,
20,v4_unmatched_plaid,plaid,Transport for London,TFL TRAVEL CH TfL,8.9,debit,public_transport_rail_coach,transport_motoring,TfL travel charge.,yes,TRAVEL_AND_TRANSPORTATION_PUBLIC_TRANSIT,public_transport_rail_coach,transport_motoring,public_transport_rail_coach,transport_motoring,T4_dictionary,yes,yes,yes,yes,public_transport_rail_coach,transport_motoring,gemini_sonnet_agree,yes,public_transport_rail_coach,public_transport_rail_coach,public_transport_rail_coach,public_transport_rail_coach,public_transport_rail_coach
21,v4_unmatched_plaid,plaid,Pxtb,PXTB,17.3,debit,unclassified_other,unclassified,PXTB with no expandable merchant; could be a broker but the string is too thin to force forex.,no,TRANSFER_OUT_OTHER,unclassified_transfer,unclassified,unclassified_transfer,unclassified,T6_native_fallback,no,no,yes,yes,unclassified_other,unclassified,gemini_sonnet_agree,yes,unclassified_other,unclassified_other,unclassified_other,unclassified_other,forex_trading
22,v4_unmatched_plaid,plaid,Www.getbits.app,www.getbits.app,49.06,debit,financial_services_other,credit_loan_repayments,"www.getbits.app is Bits (Fea Card Ltd), a UK credit-builder card/app, not crypto. £49.06 is a fintech payment.",no,TRANSFER_OUT_OTHER,unclassified_transfer,unclassified,unclassified_transfer,unclassified,T6_native_fallback,no,no,no,no,unclassified_other,unclassified,opus_tiebreak,no,revolving_credit_repayment,unclassified_other,unclassified_other,unclassified_other,crypto
23,v4_unmatched_plaid,plaid,White Lion Cd,White Lion CD 2413,5.1,debit,pub_bar,eating_drinking_out,White Lion CD; wine-bars-and-pubs native; classic pub name.,established,DINING_WINE_BARS_AND_PUBS,pub_bar,eating_drinking_out,pub_bar,eating_drinking_out,T6_native_fallback,yes,yes,yes,yes,pub_bar,eating_drinking_out,gemini_sonnet_agree,yes,pub_bar,pub_bar,pub_bar,,
24,v4_unmatched_plaid,plaid,Moneyboat.co.uk,Visa purchase MONEYBOAT.CO.UK-1106147,255.21,debit,payday_loan,high_cost_distress_credit,Moneyboat.co.uk is a high-cost short-term lender; personal-loan native.,yes,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,personal_loan_repayment,credit_loan_repayments,payday_loan,high_cost_distress_credit,T4_dictionary,no,yes,no,yes,payday_loan,high_cost_distress_credit,gemini_sonnet_agree,yes,payday_loan,payday_loan,payday_loan,payday_loan,payday_loan
25,v4_unmatched_plaid,plaid,SkyBet,Visa purchase SKY BET 4782,5.0,debit,gambling_betting,gambling,Sky Bet debit stake.,yes,ENTERTAINMENT_CASINOS_AND_GAMBLING,gambling_unspecified,gambling,gambling_betting,gambling,T4_dictionary,no,yes,yes,yes,gambling_betting,gambling,gemini_sonnet_agree,yes,gambling_betting,gambling_betting,gambling_betting,gambling_betting,gambling_betting
26,v4_unmatched_plaid,plaid,Colwyn Bay Cricket,COLWYN BAY CRICKET  ON 08 SEP CPM,9.9,debit,restaurant_cafe,eating_drinking_out,Colwyn Bay Cricket club card spend with dining native and £9.90; clubhouse food/drink rather than match participation.,no,DINING_DINING,restaurant_cafe,eating_drinking_out,restaurant_cafe,eating_drinking_out,T6_native_fallback,yes,yes,yes,yes,sports_participation,entertainment_leisure,gemini_sonnet_agree,no,sports_participation,sports_participation,sports_participation,sports_participation,restaurant_cafe
27,v4_unmatched_plaid,plaid,Apple,Visa purchase APPLE.COM/BILL,2.99,debit,software,digital_subscriptions_services,Apple.com/bill; digital purchase.,established,GENERAL_MERCHANDISE_COMPUTERS_AND_ELECTRONICS,computing_devices,general_retail_marketplaces,software,digital_subscriptions_services,T4_dictionary,no,yes,no,yes,software,digital_subscriptions_services,gemini_sonnet_agree,yes,software,software,software,,
28,v4_unmatched_plaid,plaid,Five Bridges,FIVE BRIDGES,43.42,debit,pub_bar,eating_drinking_out,"Five Bridges is a Marston's pub (Queenborough / Sheppey), not an unclassified payee.",no,TRANSFER_OUT_OTHER,unclassified_transfer,unclassified,unclassified_transfer,unclassified,T6_native_fallback,no,no,no,no,pub_bar,eating_drinking_out,opus_tiebreak,yes,pub_bar,unclassified_other,pub_bar,pub_bar,unclassified_other
29,v4_unmatched_plaid,plaid,James Brain Garden Ft,JAMES BRAIN  GARDEN FT,25.0,debit,tradesmen,home_garden,"Named person James Brain with explicit GARDEN memo; gardener/garden-service payment, not a generic P2P.",no,GENERAL_MERCHANDISE_APPAREL_AND_ACCESSORIES,clothing_general,clothing_personal_care,clothing_general,clothing_personal_care,T6_native_fallback,no,no,no,no,unclassified_other,unclassified,opus_tiebreak,no,transfer_p2p,garden,unclassified_other,garden,transfer_p2p
30,v4_unmatched_plaid,plaid,Aulds Piazza Shopping Cen,AULDS PIAZZA SHOPP,3.09,debit,restaurant_cafe,eating_drinking_out,"Aulds Piazza Shopping Centre is Aulds the Baker cafe/bakery in Paisley Piazza, not a convenience store.",no,DINING_DINING,restaurant_cafe,eating_drinking_out,restaurant_cafe,eating_drinking_out,T6_native_fallback,yes,yes,yes,yes,restaurant_cafe,eating_drinking_out,opus_tiebreak,yes,takeaway,unclassified_other,restaurant_cafe,convenience_store,restaurant_cafe
31,v4_unmatched_plaid,plaid,Cd Pfc,7978 25JUN25 CD   PFC               LONDON GB,5.5,debit,takeaway,eating_drinking_out,CD PFC LONDON £5.50; PFC is Perfect Fried Chicken takeaway shops in London. Transfer native is wrong.,no,TRANSFER_OUT_OTHER,unclassified_transfer,unclassified,unclassified_transfer,unclassified,T6_native_fallback,no,no,no,no,takeaway,eating_drinking_out,opus_tiebreak,yes,takeaway,unclassified_other,takeaway,unclassified_card_spend,unclassified_other
32,v4_unmatched_plaid,plaid,T Allen,T ALLEN 777118 36648660,2.0,debit,transfer_p2p,transfers,Named person T Allen; small FPS-style debit; no other purpose.,no,TRANSFER_OUT_OTHER,unclassified_transfer,unclassified,transfer_p2p,transfers,T5_R02,no,yes,no,yes,transfer_p2p,transfers,gemini_sonnet_agree,yes,transfer_p2p,transfer_p2p,transfer_p2p,unclassified_other,transfer_p2p
33,v4_unmatched_plaid,plaid,Pepes Luton,Pepes Luton  ON 27 SEP CPM PEPES LUTON,5.99,debit,takeaway,eating_drinking_out,"Pepe's Luton is Pepe's Piri Piri fast-food takeaway, not table-service restaurant.",no,GENERAL_SERVICES_OTHER_SERVICES,business_services,business_self_employment,business_services,business_self_employment,T6_native_fallback,no,no,no,no,takeaway,eating_drinking_out,gemini_sonnet_agree,yes,takeaway,takeaway,takeaway,restaurant_cafe,takeaway
34,v4_unmatched_plaid,plaid,Douglas Kell,DOUGLAS KELL 100000001592508112,10.0,debit,transfer_p2p,transfers,Named person Douglas Kell; numeric reference; no other purpose.,no,TRANSFER_OUT_OTHER,unclassified_transfer,unclassified,transfer_p2p,transfers,T4_dictionary,no,yes,no,yes,transfer_p2p,transfers,gemini_sonnet_agree,yes,transfer_p2p,transfer_p2p,transfer_p2p,unclassified_other,transfer_p2p
35,v4_unmatched_plaid,plaid,Smoke And Vape,Contactless Payment SMOKE AND VAPE 2.0 APPLEPAY 8991,2.89,debit,vaping,groceries_household_essentials,Smoke and Vape contactless; vape retailer.,yes,GENERAL_MERCHANDISE_OTHER_GENERAL_MERCHANDISE,retail_other,general_retail_marketplaces,vaping,groceries_household_essentials,T4_dictionary,no,yes,no,yes,vaping,groceries_household_essentials,gemini_sonnet_agree,yes,vaping,vaping,vaping,vaping,vaping
36,v4_unmatched_plaid,plaid,N Poole,N POOLE 110123 11623969,5.0,debit,transfer_p2p,transfers,Named person N Poole; no other purpose.,no,TRANSFER_OUT_OTHER,unclassified_transfer,unclassified,transfer_p2p,transfers,T5_R02,no,yes,no,yes,transfer_p2p,transfers,gemini_sonnet_agree,yes,transfer_p2p,transfer_p2p,transfer_p2p,unclassified_other,transfer_p2p
37,v4_unmatched_plaid,plaid,Aecc Su Bar,Aecc Su Bar,1.25,debit,pub_bar,eating_drinking_out,AECC SU Bar is a student-union bar.,yes,DINING_DINING,restaurant_cafe,eating_drinking_out,pub_bar,eating_drinking_out,T4_dictionary,no,yes,yes,yes,pub_bar,eating_drinking_out,gemini_sonnet_agree,yes,pub_bar,pub_bar,pub_bar,pub_bar,pub_bar
38,v4_unmatched_plaid,plaid,Apple,Apple,0.99,debit,software,digital_subscriptions_services,Apple small debit; digital purchase.,established,GENERAL_MERCHANDISE_OTHER_GENERAL_MERCHANDISE,retail_other,general_retail_marketplaces,software,digital_subscriptions_services,T4_dictionary,no,yes,no,yes,software,digital_subscriptions_services,gemini_sonnet_agree,yes,software,software,software,,
39,v4_unmatched_plaid,plaid,Euan Hadley Food,EUAN HADLEY       FOOD              VIA MOBILE - LVP  FP 11/08/25 10    22065133172857000N,7.0,debit,transfer_p2p,transfers,"Named person Euan Hadley; FOOD is a customer memo, not a restaurant merchant. Paying a person.",no,TRANSFER_OUT_OTHER,unclassified_transfer,unclassified,transfer_p2p,transfers,T4_dictionary,no,yes,no,yes,transfer_p2p,transfers,gemini_sonnet_agree,yes,transfer_p2p,transfer_p2p,transfer_p2p,restaurant_cafe,transfer_p2p
40,v4_unmatched_plaid,plaid,Apple,9074 12SEP25      APPLE.COM/BILL    08001076285 IE,12.99,debit,software,digital_subscriptions_services,Apple.com/bill £12.99; digital subscription/purchase.,established,GENERAL_MERCHANDISE_COMPUTERS_AND_ELECTRONICS,computing_devices,general_retail_marketplaces,software,digital_subscriptions_services,T4_dictionary,no,yes,no,yes,software,digital_subscriptions_services,gemini_sonnet_agree,yes,software,software,software,,
41,v4_unmatched_plaid,plaid,Douglas Kell,DOUGLAS KELL 200000001619989543,25.0,debit,transfer_p2p,transfers,Named person Douglas Kell; no other purpose.,no,TRANSFER_OUT_OTHER,unclassified_transfer,unclassified,transfer_p2p,transfers,T4_dictionary,no,yes,no,yes,transfer_p2p,transfers,gemini_sonnet_agree,yes,transfer_p2p,transfer_p2p,transfer_p2p,unclassified_other,transfer_p2p
42,v4_unmatched_plaid,plaid,RingGo,RINGGO PARKING,4.3,debit,car_parking,transport_motoring,RingGo parking.,yes,TRAVEL_AND_TRANSPORTATION_OTHER_TRAVEL_AND_TRANSPORTATION,transport_other,transport_motoring,transport_other,transport_motoring,T6_native_fallback,no,no,yes,yes,car_parking,transport_motoring,gemini_sonnet_agree,yes,car_parking,car_parking,car_parking,car_parking,car_parking
43,v4_unmatched_plaid,plaid,Voi,Voi UK,1.6,debit,bicycle,transport_motoring,Voi UK is e-scooter/e-bike hire. bicycle is the micromobility leaf; not taxi_rideshare.,no,TRAVEL_AND_TRANSPORTATION_OTHER_TRAVEL_AND_TRANSPORTATION,transport_other,transport_motoring,transport_other,transport_motoring,T6_native_fallback,no,no,yes,yes,taxi_rideshare,transport_motoring,opus_tiebreak,no,bicycle,taxi_rideshare,taxi_rideshare,taxi_rideshare,bicycle
44,v4_unmatched_plaid,plaid,Icelandair,ICELAND Iceland,1.15,debit,groceries,groceries_household_essentials,Merchant Icelandair is Plaid's common alias for Iceland supermarket; narrative ICELAND + groceries native. Not an airline ticket.,established,FOOD_RETAIL_GROCERIES,groceries,groceries_household_essentials,groceries,groceries_household_essentials,T6_native_fallback,yes,yes,yes,yes,groceries,groceries_household_essentials,opus_tiebreak,yes,groceries,foreign_spend_unspecified,groceries,,
45,v4_unmatched_plaid,plaid,G Gibson,G GIBSON 110394 18716669,4.99,debit,transfer_p2p,transfers,Named person G Gibson; no other purpose.,no,TRANSFER_OUT_OTHER,unclassified_transfer,unclassified,transfer_p2p,transfers,T5_R02,no,yes,no,yes,transfer_p2p,transfers,gemini_sonnet_agree,yes,transfer_p2p,transfer_p2p,transfer_p2p,unclassified_other,transfer_p2p
46,v4_unmatched_plaid,plaid,Taptap Send,TapTap Send,1.0,debit,transfer_international,transfers,TapTap Send remittance.,yes,TRANSFER_OUT_OTHER,unclassified_transfer,unclassified,unclassified_transfer,unclassified,T6_native_fallback,no,no,no,no,transfer_international,transfers,gemini_sonnet_agree,yes,transfer_international,transfer_international,transfer_international,transfer_international,transfer_international
47,v4_unmatched_plaid,plaid,G Crossan,G CROSSAN,10.0,debit,transfer_p2p,transfers,Named person G Crossan; no other purpose.,no,TRANSFER_OUT_OTHER,unclassified_transfer,unclassified,transfer_p2p,transfers,T5_R02,no,yes,no,yes,transfer_p2p,transfers,gemini_sonnet_agree,yes,transfer_p2p,transfer_p2p,transfer_p2p,unclassified_other,transfer_p2p
48,v4_unmatched_plaid,plaid,Acorn Insurance,ACORN INSURANCE AN 01HVNPC0470665,169.44,debit,insurance_motor,insurance,Acorn Insurance is a specialist non-standard motor insurer; £169.44 is a typical premium. Not multi-line general.,no,INSURANCE_AND_TAX_INSURANCE,insurance_general,insurance,insurance_general,insurance,T6_native_fallback,no,no,yes,yes,insurance_motor,insurance,gemini_sonnet_agree,yes,insurance_motor,insurance_motor,insurance_motor,insurance_general,insurance_motor
49,v4_unmatched_plaid,plaid,SkyBet,Sky Bet,6.63,debit,gambling_betting,gambling,Sky Bet debit.,yes,ENTERTAINMENT_CASINOS_AND_GAMBLING,gambling_unspecified,gambling,gambling_betting,gambling,T4_dictionary,no,yes,yes,yes,gambling_betting,gambling,gemini_sonnet_agree,yes,gambling_betting,gambling_betting,gambling_betting,gambling_betting,gambling_betting
50,v4_unmatched_plaid,plaid,Savers Health And Beauty,Savers Health and Beauty,2.67,debit,health_beauty_general,clothing_personal_care,"Savers is health-and-beauty retail, not a pharmacy.",yes,PERSONAL_CARE_HAIR_AND_BEAUTY,skin_hair_care,clothing_personal_care,pharmacy,health_medical,T4_dictionary,no,no,yes,no,health_beauty_general,clothing_personal_care,gemini_sonnet_agree,yes,health_beauty_general,health_beauty_general,health_beauty_general,health_beauty_general,health_beauty_general
51,v4_unmatched_plaid,plaid,Domino's,Domino’s,105.29,debit,takeaway,eating_drinking_out,Domino's pizza; takeaway even at £105.,established,DINING_DINING,restaurant_cafe,eating_drinking_out,restaurant_cafe,eating_drinking_out,T6_native_fallback,no,no,yes,yes,takeaway,eating_drinking_out,gemini_sonnet_agree,yes,takeaway,takeaway,takeaway,,
52,v4_unmatched_plaid,plaid,Boston Grill,Boston Grill,55.98,debit,restaurant_cafe,eating_drinking_out,Boston Grill; dining native; grill restaurant.,yes,DINING_DINING,restaurant_cafe,eating_drinking_out,restaurant_cafe,eating_drinking_out,T6_native_fallback,yes,yes,yes,yes,restaurant_cafe,eating_drinking_out,opus_tiebreak,yes,restaurant_cafe,takeaway,restaurant_cafe,restaurant_cafe,restaurant_cafe
53,v4_unmatched_plaid,plaid,Morr Brampton Barnsley,MORR BRAMPTON     BARNSLEY,20.0,debit,groceries,groceries_household_essentials,"MORR BRAMPTON BARNSLEY is Morrisons Brampton/Cortonwood, Barnsley. Both models left it unclassified; supermarket grocery debit.",yes,DINING_DINING,restaurant_cafe,eating_drinking_out,restaurant_cafe,eating_drinking_out,T6_native_fallback,no,no,no,no,unclassified_other,unclassified,opus_tiebreak,no,groceries,unclassified_other,unclassified_other,unclassified_other,unclassified_other
54,v4_unmatched_plaid,plaid,Sainsbury's Petrol Station,SAINSBURYS PETROL  ON 02 JUL CPM Sainsbury's - Fuel,2.0,debit,fuel,transport_motoring,Sainsbury's petrol/fuel narrative.,established,TRAVEL_AND_TRANSPORTATION_OTHER_TRAVEL_AND_TRANSPORTATION,transport_other,transport_motoring,fuel,transport_motoring,T5_R05,no,yes,yes,yes,fuel,transport_motoring,gemini_sonnet_agree,yes,fuel,fuel,fuel,,
55,v4_unmatched_plaid,plaid,Transport for London,TFL TRAVEL CH  ON 12 OCT CPM TFL TRAVEL CHARGE,1.75,debit,public_transport_rail_coach,transport_motoring,TfL travel charge.,yes,TRAVEL_AND_TRANSPORTATION_PUBLIC_TRANSIT,public_transport_rail_coach,transport_motoring,public_transport_rail_coach,transport_motoring,T4_dictionary,yes,yes,yes,yes,public_transport_rail_coach,transport_motoring,gemini_sonnet_agree,yes,public_transport_rail_coach,public_transport_rail_coach,public_transport_rail_coach,public_transport_rail_coach,public_transport_rail_coach
56,v4_unmatched_plaid,plaid,Dvla-w,REVERSAL OF 18-09 DVLA-W359MCL      FIRST PAYMENT,31.5,credit,returned_payment,fees_charges,"CREDIT with REVERSAL OF DVLA. Brief: REVERSAL OF on a credit is returned_payment, not road_tax spend. Models both labelled road_tax.",yes,GOVERNMENTS_AND_NON_PROFIT_GOVERNMENTS_AND_NON_PROFIT,council_tax,council_tax_government,road_tax,transport_motoring,T4_dictionary,no,no,no,no,road_tax,transport_motoring,gemini_sonnet_agree,no,road_tax,road_tax,road_tax,road_tax,road_tax
57,v4_unmatched_plaid,plaid,Jack Fishpool,United Kingdom Account - From T.s. Plaste Jack Fishpool - SortCodeAccountNumber: 30944388751068,350.0,debit,transfer_p2p,transfers,Named person Jack Fishpool (T.s. Plaste); flights native is spurious.,yes,TRAVEL_AND_TRANSPORTATION_FLIGHTS,flights,travel_holidays,flights,travel_holidays,T6_native_fallback,no,no,no,no,transfer_p2p,transfers,gemini_sonnet_agree,yes,transfer_p2p,transfer_p2p,transfer_p2p,transfer_p2p,transfer_p2p
58,v4_unmatched_plaid,plaid,Brent Parking,8321 07SEP25      BRENT PARKING     WWW.BRENT.GOV GB,0.4,debit,car_parking,transport_motoring,Brent Parking brent.gov.uk.,yes,TRAVEL_AND_TRANSPORTATION_OTHER_TRAVEL_AND_TRANSPORTATION,transport_other,transport_motoring,car_parking,transport_motoring,T4_dictionary,no,yes,yes,yes,car_parking,transport_motoring,gemini_sonnet_agree,yes,car_parking,car_parking,car_parking,car_parking,car_parking
