merchant,eqx_leaf,llm_consensus_leaf,dict_leaf,haiku_confidence,sonnet_confidence,plaid_n,recommended_leaf,decision,review_confidence,rationale,verification_url
ticketmaster,live_music,sports_tickets,,0.93,0.5,370,sports_tickets,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
the entertainer,gadgets,toys,,0.93,0.85,357,toys,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
stop & shop,convenience_store,groceries,,0.88,0.6,331,groceries,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
canva,arts_crafts,software,,0.9,0.75,325,software,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
legal & general,insurance_general,insurance_life,insurance_life,0.95,0.85,321,insurance_life,both_agree,high,LLM and dictionary already agree,
max spielmann,printing_services,photography_services,,0.85,0.8,308,photography_services,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
depop,clothing_general,marketplace_amazon,,0.9,0.6,299,marketplace_amazon,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
next directory,retail_finance_repayment,catalogue_retail,catalogue_retail,0.94,0.9,291,catalogue_retail,both_agree,high,LLM and dictionary already agree,
beryl,travel_other,bicycle,,0.9,0.6,273,bicycle,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
metlife,pension_contribution,insurance_life,,0.92,0.75,270,insurance_life,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
euro car parts,vehicle_maintenance,spares_repairs,,0.93,0.8,268,spares_repairs,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
parkdean resorts,camping_holiday,holiday_uk,,0.93,0.85,247,holiday_uk,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
etsy,home_accessories,marketplace_amazon,marketplace_amazon,0.92,0.85,238,marketplace_amazon,both_agree,high,LLM and dictionary already agree,
linkedin,web_services,online_services,,0.9,0.7,233,online_services,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
central convenience stores,groceries,convenience_store,,0.92,0.75,232,convenience_store,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
hmv,streaming_music,physical_media,,0.9,0.85,215,physical_media,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
loungers,pub_bar,restaurant_cafe,,0.85,0.75,205,restaurant_cafe,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
go outdoors,sportswear,clothing_outdoor,,0.85,0.8,188,clothing_outdoor,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
british heart foundation,charitable_donation,charity_shop,,0.85,0.8,188,charity_shop,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
schuh,clothing_general,footwear,,0.9,0.9,187,footwear,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
that prize guy,gambling_lottery,prize_competitions,prize_competitions,0.95,0.9,184,prize_competitions,both_agree,high,LLM and dictionary already agree,
mace,groceries,convenience_store,,0.9,0.6,179,convenience_store,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
popeyes,restaurant_cafe,takeaway,,0.9,0.8,178,takeaway,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
revolucion de cuba,restaurant_cafe,pub_bar,,0.85,0.7,176,pub_bar,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
crunchyroll,entertainment_other,streaming_music,,0.85,0.7,174,streaming_music,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
gousto,groceries_specialist,groceries,,0.85,0.7,173,groceries,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
youtube premium,web_services,streaming_music,,0.9,0.85,167,streaming_music,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
ryman,computing_devices,stationery,,0.9,0.85,162,stationery,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
keystore,groceries,convenience_store,groceries,0.85,0.7,146,convenience_store,llm_wins,high,The brand operates neighbourhood convenience stores so this is more specific than groceries,https://www.keystore.co.uk/about-us/
school gateway,education_general,school_fees,,0.85,0.7,139,school_fees,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
clarks,clothing_general,footwear,,0.95,0.85,138,footwear,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
pharmacy2u,medicine,pharmacy,,0.9,0.9,137,pharmacy,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
mountain warehouse,sportswear,clothing_outdoor,,0.88,0.85,122,clothing_outdoor,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
stripe,transfer_international,payment_intermediary,payment_intermediary,0.92,0.85,122,payment_intermediary,both_agree,high,LLM and dictionary already agree,
tails.com,veterinary,pet_supplies,,0.85,0.75,121,pet_supplies,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
fatsoma,live_music,event_planning,,0.7,0.55,120,event_planning,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
dropbox,software,web_services,,0.92,0.8,120,web_services,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
fashionworld,clothing_womens,clothing_general,,0.8,0.75,118,clothing_general,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
center parcs,holiday_package,holiday_uk,,0.9,0.85,112,holiday_uk,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
hotel chocolat,restaurant_cafe,confectionary,,0.85,0.75,111,confectionary,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
joe & the juice,takeaway,restaurant_cafe,,0.88,0.7,111,restaurant_cafe,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
botb,gambling_lottery,prize_competitions,,0.8,0.7,109,prize_competitions,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
swiftcover,insurance_general,insurance_motor,,0.88,0.75,107,insurance_motor,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
beauty outlet,clothing_womens,health_beauty_general,,0.8,0.55,104,health_beauty_general,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
lookfantastic,jewellery,health_beauty_general,,0.85,0.75,103,health_beauty_general,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
schoolmoney,education_general,school_fees,,0.85,0.75,98,school_fees,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
supercell,gaming_online,gaming_mobile,,0.8,0.7,93,gaming_mobile,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
expedia,flights,accommodation,,0.88,0.7,83,accommodation,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
super pound saver,convenience_store,discount_store,,0.88,0.7,81,discount_store,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
kokoro,takeaway,restaurant_cafe,,0.7,0.6,81,restaurant_cafe,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
competition fox,gambling_lottery,prize_competitions,,0.82,0.8,79,prize_competitions,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
leon,takeaway,restaurant_cafe,restaurant_cafe,0.95,0.85,76,restaurant_cafe,both_agree,high,LLM and dictionary already agree,
glossybox,beauty_treatment,health_beauty_general,,0.8,0.7,74,health_beauty_general,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
curve,crypto,payment_intermediary,,0.8,0.55,71,payment_intermediary,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
uphold,investment_trading,crypto,,0.85,0.75,70,crypto,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
click competitions,gambling_lottery,prize_competitions,,0.88,0.8,70,prize_competitions,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
vistaprint,printing_supplies,printing_services,,0.92,0.85,70,printing_services,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
flannels,jewellery,clothing_general,,0.85,0.8,68,clothing_general,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
the bike club,sports_participation,bicycle,,0.8,0.65,67,bicycle,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
la redoute,clothing_general,catalogue_retail,,0.88,0.85,67,catalogue_retail,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
forbidden planet,books,comics,,0.9,0.85,66,comics,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
shake shack,takeaway,restaurant_cafe,,0.95,0.85,61,restaurant_cafe,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
carrefour,discount_store,groceries,,0.92,0.8,55,groceries,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
roxy ball room,pub_bar,entertainment_other,,0.7,0.6,50,entertainment_other,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
247 money,car_finance_repayment,payday_loan,,0.75,0.55,50,payday_loan,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
treatwell,skin_hair_care,beauty_treatment,,0.8,0.75,49,beauty_treatment,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
skechers,sportswear,footwear,,0.9,0.85,48,footwear,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
marks and spencer,clothing_general,department_store,department_store,0.95,0.85,48,department_store,both_agree,high,LLM and dictionary already agree,
walkabout,restaurant_cafe,pub_bar,,0.8,0.75,48,pub_bar,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
hayu,broadband_tv_phone,streaming_music,,0.7,0.6,46,streaming_music,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
pepper money,mortgage,personal_loan_repayment,,0.75,0.5,44,personal_loan_repayment,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
ing,transfer_bank_unspecified,financial_institution_unspecified,,0.6,0.5,42,financial_institution_unspecified,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
wynsors,clothing_general,footwear,,0.85,0.7,42,footwear,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
jaguar land rover,vehicle_maintenance,vehicle_purchase,,0.8,0.55,41,vehicle_purchase,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
anyvan,car_hire,delivery_courier,,0.8,0.6,40,delivery_courier,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
cornish bakehouse,takeaway,restaurant_cafe,,0.75,0.6,38,restaurant_cafe,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
the cricketers,restaurant_cafe,pub_bar,,0.85,0.6,38,pub_bar,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
accessorize,jewellery,clothing_general,,0.8,0.6,37,clothing_general,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
pizza express,takeaway,restaurant_cafe,,0.9,0.85,36,restaurant_cafe,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
thistle insurance,insurance_other,insurance_general,,0.75,0.65,36,insurance_general,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
epson,office_equipment,computer_peripherals,,0.75,0.6,35,computer_peripherals,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
mojang,software,gaming_console_pc,,0.85,0.6,35,gaming_console_pc,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
viagogo,live_music,sports_tickets,,0.85,0.5,34,sports_tickets,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
boux avenue,gifts_flowers,clothing_womens,,0.85,0.75,32,clothing_womens,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
perfect pet,insurance_pet,pet_supplies,,0.8,0.55,32,pet_supplies,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
saltrock surfwear,sportswear,clothing_outdoor,,0.85,0.65,31,clothing_outdoor,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
the tanning rooms,health_beauty_general,beauty_treatment,,0.85,0.7,31,beauty_treatment,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
crocs,clothing_childrens,footwear,,0.85,0.8,30,footwear,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
feel good contacts,health_beauty_general,optician,,0.8,0.75,29,optician,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
ann summers,gifts_flowers,adult_products,,0.85,0.7,29,adult_products,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
v kent minimart ltd,groceries,convenience_store,,0.75,0.6,28,convenience_store,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
aldermore bank,mortgage,financial_institution_unspecified,,0.9,0.6,28,financial_institution_unspecified,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
gumtree,advertising_services,marketplace_amazon,,0.8,0.6,28,marketplace_amazon,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
split my fare,public_transport_rail_coach,taxi_rideshare,,0.75,0.6,28,taxi_rideshare,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
deezer,gaming_mobile,streaming_music,,0.95,0.9,27,streaming_music,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
photobox,printing_services,photography_services,,0.85,0.75,25,photography_services,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
jagex,gaming_console_pc,gaming_online,,0.85,0.7,25,gaming_online,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
wembley stadium,sports_participation,sports_tickets,,0.9,0.6,24,sports_tickets,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
gear4music,audio_equipment,musical_instruments,,0.85,0.85,22,musical_instruments,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
back market uk ltd,it_services,marketplace_refurbished,,0.95,0.85,22,marketplace_refurbished,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
student loans company,personal_loan_repayment,student_loan_repayment,,0.95,0.9,22,student_loan_repayment,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
the white company,home_improvement,home_accessories,,0.8,0.65,20,home_accessories,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
bandcamp,streaming_music,music_other,,0.85,0.7,20,music_other,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
countrywide,insurance_general,estate_agent,,0.85,0.6,19,estate_agent,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
rowes newsmarket,convenience_store,newspapers,,0.75,0.4,18,newspapers,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
countrywide reside,rent,estate_agent,,0.8,0.55,18,estate_agent,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
ancoats general store,groceries,convenience_store,,0.75,0.6,18,convenience_store,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
cosmetix limited,beauty_treatment,health_beauty_general,,0.75,0.55,18,health_beauty_general,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
brittany ferries,accommodation,ferry_rail_travel,,0.95,0.85,17,ferry_rail_travel,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
secret sales,catalogue_retail,retail_tv_online_shopping,,0.8,0.5,17,retail_tv_online_shopping,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
quiz clothing,clothing_general,clothing_womens,,0.85,0.75,17,clothing_womens,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
kurt geiger,clothing_general,footwear,,0.9,0.75,17,footwear,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
pet drugs online,veterinary,pet_supplies,,0.85,0.75,17,pet_supplies,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
child maintenance,unclassified_transfer,income_other_unspecified,income_other_unspecified,0.8,0.8,16,income_other_unspecified,both_agree,high,LLM and dictionary already agree,
sncf,public_transport_rail_coach,ferry_rail_travel,,0.9,0.7,16,ferry_rail_travel,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
tick tock loans,personal_loan_repayment,payday_loan,,0.9,0.8,15,payday_loan,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
huel,supplements,groceries_specialist,,0.9,0.6,15,groceries_specialist,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
kilted competition,gambling_lottery,prize_competitions,,0.75,0.55,15,prize_competitions,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
hachette partworks,books,magazines,,0.85,0.6,14,magazines,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
marisota,clothing_general,clothing_womens,,0.85,0.6,14,clothing_womens,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
abercrombie & fitch,clothing_mens,clothing_general,,0.9,0.75,14,clothing_general,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
new balance,clothing_general,sportswear,,0.95,0.8,14,sportswear,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
coverwise,insurance_travel,insurance_general,,0.8,0.6,14,insurance_general,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
rbs,personal_loan_repayment,financial_institution_unspecified,,0.85,0.8,13,financial_institution_unspecified,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
amorino,takeaway,restaurant_cafe,,0.85,0.6,13,restaurant_cafe,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
lola's cupcakes,confectionary,restaurant_cafe,,0.85,0.6,13,restaurant_cafe,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
castle bingo,gambling_casino,gambling_bingo,,0.95,0.85,13,gambling_bingo,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
the corner house,restaurant_cafe,pub_bar,,0.75,0.45,13,pub_bar,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
flight club,pub_bar,entertainment_other,,0.7,0.6,13,entertainment_other,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
bonmarche,clothing_general,clothing_womens,,0.85,0.75,13,clothing_womens,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
wimpy,takeaway,restaurant_cafe,,0.9,0.7,12,restaurant_cafe,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
home group,property_management,housing_other,,0.7,0.5,12,housing_other,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
deichmann,clothing_general,footwear,,0.9,0.85,12,footwear,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
fruugo,department_store,retail_tv_online_shopping,,0.8,0.65,12,retail_tv_online_shopping,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
the bat and ball,restaurant_cafe,pub_bar,,0.85,0.55,12,pub_bar,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
mainline menswear,clothing_general,clothing_mens,,0.9,0.85,12,clothing_mens,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
